Topic,scopus_id,year
-1,2-s2.0-85131318824,2022
28,2-s2.0-85127415691,2022
-1,2-s2.0-85126176254,2022
51,2-s2.0-85125002964,2022
10,2-s2.0-85122186441,2022
-1,2-s2.0-85130896286,2022
5,2-s2.0-85125187750,2022
-1,2-s2.0-85129789762,2022
-1,2-s2.0-85127526908,2022
-1,2-s2.0-85124997164,2022
-1,2-s2.0-85123125191,2022
-1,2-s2.0-85120644405,2022
57,2-s2.0-85123752171,2022
30,2-s2.0-85106226097,2022
5,2-s2.0-85127235632,2022
11,2-s2.0-85123910670,2022
50,2-s2.0-85130036485,2022
5,2-s2.0-85125712194,2022
9,2-s2.0-85124836026,2022
0,2-s2.0-85120417892,2022
-1,2-s2.0-85113592578,2022
-1,2-s2.0-85128488206,2022
11,2-s2.0-85128755733,2022
0,2-s2.0-85127040387,2022
26,2-s2.0-85126198912,2022
23,2-s2.0-85111105386,2022
5,2-s2.0-85130812658,2022
-1,2-s2.0-85128000379,2022
13,2-s2.0-85127266292,2022
-1,2-s2.0-85114995918,2022
1,2-s2.0-85113290145,2022
31,2-s2.0-85099027747,2022
3,2-s2.0-85089091306,2022
-1,2-s2.0-85099965077,2022
47,2-s2.0-85124773785,2022
-1,2-s2.0-85122196872,2022
15,2-s2.0-85099707849,2022
-1,2-s2.0-85118272090,2022
17,2-s2.0-85114179918,2022
-1,2-s2.0-85130452834,2022
-1,2-s2.0-85127058862,2022
31,2-s2.0-85126893913,2022
23,2-s2.0-85126830286,2022
22,2-s2.0-85126696562,2022
-1,2-s2.0-85125553844,2022
28,2-s2.0-85124777308,2022
21,2-s2.0-85124736220,2022
0,2-s2.0-85122981716,2022
30,2-s2.0-85119534404,2022
44,2-s2.0-85115707306,2022
6,2-s2.0-85105935905,2022
20,2-s2.0-85103381538,2022
18,2-s2.0-85101496796,2022
-1,2-s2.0-85100013837,2022
-1,2-s2.0-85106301479,2022
44,2-s2.0-85113801843,2022
-1,2-s2.0-85112148541,2022
-1,2-s2.0-85121349618,2022
11,2-s2.0-85122893601,2022
2,2-s2.0-85124879318,2022
31,2-s2.0-85124268096,2022
2,2-s2.0-85123813325,2022
-1,2-s2.0-85103000084,2022
27,2-s2.0-85083375132,2022
-1,2-s2.0-85100574611,2022
5,2-s2.0-85120072011,2022
-1,2-s2.0-85110313248,2022
0,2-s2.0-85111623433,2022
5,2-s2.0-85119604818,2022
38,2-s2.0-85115805557,2022
11,2-s2.0-85131353168,2022
0,2-s2.0-85131333510,2022
-1,2-s2.0-85131194557,2022
-1,2-s2.0-85131161800,2022
-1,2-s2.0-85131141857,2022
47,2-s2.0-85130791480,2022
1,2-s2.0-85130409404,2022
5,2-s2.0-85130368570,2022
-1,2-s2.0-85130232676,2022
30,2-s2.0-85130204478,2022
54,2-s2.0-85130202972,2022
-1,2-s2.0-85130056931,2022
1,2-s2.0-85129912033,2022
-1,2-s2.0-85129709609,2022
-1,2-s2.0-85129619941,2022
-1,2-s2.0-85129553776,2022
33,2-s2.0-85129290339,2022
-1,2-s2.0-85129206793,2022
4,2-s2.0-85129196375,2022
14,2-s2.0-85128954834,2022
31,2-s2.0-85128945052,2022
20,2-s2.0-85128933836,2022
-1,2-s2.0-85128793547,2022
14,2-s2.0-85128463927,2022
3,2-s2.0-85128354069,2022
26,2-s2.0-85128234917,2022
-1,2-s2.0-85127862327,2022
-1,2-s2.0-85126775549,2022
4,2-s2.0-85126567861,2022
-1,2-s2.0-85126474281,2022
54,2-s2.0-85126358126,2022
11,2-s2.0-85126292506,2022
26,2-s2.0-85126207618,2022
0,2-s2.0-85125666921,2022
32,2-s2.0-85125636967,2022
7,2-s2.0-85125531368,2022
31,2-s2.0-85125410461,2022
47,2-s2.0-85124733451,2022
46,2-s2.0-85124345866,2022
-1,2-s2.0-85124326149,2022
4,2-s2.0-85123634877,2022
35,2-s2.0-85123480847,2022
-1,2-s2.0-85123479632,2022
1,2-s2.0-85123466932,2022
-1,2-s2.0-85122859536,2022
11,2-s2.0-85122792623,2022
48,2-s2.0-85122678676,2022
30,2-s2.0-85122390244,2022
0,2-s2.0-85122195563,2022
22,2-s2.0-85121252996,2022
2,2-s2.0-85118593298,2022
-1,2-s2.0-85114911394,2022
-1,2-s2.0-85114904309,2022
14,2-s2.0-85113597799,2022
42,2-s2.0-85107827360,2022
0,2-s2.0-85107261280,2022
0,2-s2.0-85105383121,2022
-1,2-s2.0-85104657968,2022
-1,2-s2.0-85101236046,2022
16,2-s2.0-85099843243,2022
5,2-s2.0-85098578953,2022
43,2-s2.0-85097493627,2022
25,2-s2.0-85089445318,2022
-1,2-s2.0-85083564344,2022
-1,2-s2.0-85121449754,2021
22,2-s2.0-85121420520,2021
1,2-s2.0-85119853863,2021
1,2-s2.0-85119400148,2021
26,2-s2.0-85117710212,2021
1,2-s2.0-85115277898,2021
5,2-s2.0-85114815830,2021
3,2-s2.0-85113404083,2021
31,2-s2.0-85112519464,2021
29,2-s2.0-85111528464,2021
2,2-s2.0-85111058915,2021
0,2-s2.0-85107914687,2021
11,2-s2.0-85104449806,2021
1,2-s2.0-85102761588,2021
1,2-s2.0-85101850847,2021
7,2-s2.0-85101203794,2021
8,2-s2.0-85078106605,2021
-1,2-s2.0-85089300408,2021
3,2-s2.0-85094155332,2021
