Topic,Count,Name,Representation,Representative_Docs
-1,1280,-1_work_nurse_care_high,"['work', 'nurse', 'care', 'high', 'worker', 'social', 'leave', 'engagement', 'stress', 'perceive']","['good hard work employment nurse hospital sector book hospital sector display large distinctive feature combine characteristic industry service sector industrial activity depend major investment equipment rapid technical progress subject classic production constraint hour day day year operation quest error proof work rise demand accountability caregive service mobilize vast workforce rest patient staff diagnosis patient medical nursing staff patient necessary participation basic nursing task washing move place sector largely dominate public majority worker public hospital civil service hospital sector expand greatly 1960 1970 time internal labor market construct display characteristic french chapter extreme hospital sector employ primarily skilled highly skilled worker large percentage unskilled especially housekeeping basic nursing chapter focus united states vast majority perform unskilled worker rate staff high et al choose task basis international comparison france structure work skill workforce differ significantly american nurse staff well train stable form core permanent belong category low wage worker fact hospital sector low rate worker france chapter true denmark germany united kingdom united states section high regulation french hospital sector labor market care regulation account negligible incidence low wage great homogeneity public private sector expect nursing housekeeping task category define collective agreement actual work vary hospital highly skilled united states high skill counterpart french hotel negligible incidence low wage section important characteristic french hospital employment high segmentation hand great worker sector stable civil service employment public sector open end contract private low rate employment life persist nurse attractive stability wage progression base seniority work schedule despite hour allow well balance family life work life sector attractiveness problem qualified public private sector allow hospital use large peripheral reserve labor force work unstable line pool powerful instrument flexibility exemplary characteristic french chapter follow section way relation standard country french hospital subject strong pressure demand care system major restructuring come later united states united kingdom delay consequence manage work- force especially institutional resilience lead certain course public private hospital react effort increase work productivity require high skill pace work work transition especially reluctance implement end especially deterioration work classic hospital employment hold fast chapter rely general identify low wage work use national statistical primarily ministry particular annual statistic institution work hospitals).1 case hospital clinic bed exclude university hospital public hospital private profit clinic locate labor market high rate unemployment market chief characteristic sample).2 case conduct depth interview hospital executive director human resource manager nursing care manager union leader nurse hospital service worker primarily medical unit case hospital subcontract work interview deal business worker russell sage foundation', 'work environment workplace violence burnout work attitude hospital nurse structural equation direct indirect work environment workplace violence nurse burnout work attitude chinese hospital nurse work environment key nurse work attitude information work environment nurse work attitude cross sectional 1,517 hospital nurse medical surgical unit hospital guangdong province china structural equation modelling hypothesized suppose work environment direct indirect work attitude e.g. leave workplace violence nurse burnout well work environment high low leave directly indirectly mediator workplace violence burnout burnout mediate association workplace violence leave improve work environment promote nurse safety subsequently stabilize nurse workforce nursing help nurse achieve safety improve work attitude nurse build work environment help nurse experience workplace violence relieve burnout ltd burnout china leave nurse work environment workplace violence', 'predict register nurse leave profession demand resource framework develop comprehensive nursing demand resource personal demand personal resource burnout work engagement subsequently leave profession age population grow prevalence place increase strain age nursing workforce solution anticipated nursing shortage focus burnout engagement register nurse rns improve retention cross sectional 2014–2015 e 2,876 rn work new zealand structural equation \xa0 modelling high engagement low leave profession burnout leave low engagement demand resource professional development leave great workload great work life interference high burnout strong leave great emotional demand challenge great self efficacy strong lower leave high engagement burnout work engagement play important demand resource personal demand personal resource rn leave profession work life interference high workload major threat nursing retention challenge demand high self efficacy well retention ltd burnout demand resource nurse retention nursing work engagement']"
0,261,0_talent_retention_human_practice,"['talent', 'retention', 'human', 'practice', 'company', 'hr', 'human resource', 'hrm', 'strategy', 'resource']","['person fit matter institution mediating person fit talent respond call mechanism talent affect talented draw insight attraction selection ability motivation opportunity mechanism person fit talent talented affective quit institution ghana talent pool member partial mediation structural equation modelling talent direct indirect talented affective quit person fit point practitioner human resource practitioner attempt increase affective quit match task talented knowledge skill ability time need supply emanate talent practice human resource professional choose assess person fit talented pre selection phase talent pool human resource practitioner achieve person fit talent pool member career planning career progression human resource professional concern retention talented increase attention create person fit talent practice useful leave maintain high author(s affective institution person fit quit talent', 'talent practice retention continuously business environment responsibility hr department secure retain talent necessary productivity development sector grow sector face challenge high rate contribution talent practice retention descriptive conduct talent strategy retention regression develop talent retention prefer stay opportunity develop grow career ladder compensation plan helpful attract retain useful planning drafting execute strategy retain generalize sector scope workforce e.g. work life balance engagement connection retention \u200b. periodical llc retention recruitment salary talent', 'strategic human resource private public company malaysia interaction business strategy differentiation low cost human resource hr hrm practice recruitment selection training development compensation performance employment security work life balance involvement extent difference public private company malaysia structural equation sem invariance company hrm practice mediate interaction business strategy furthermore business strategy hrm practice public company slightly different one private company specifically moderation show invariance differentiation strategy variance low cost strategy centre human value sage publication business strategy strategic hrm structural equation']"
1,123,1_burnout_exhaustion_stress_professional,"['burnout', 'exhaustion', 'stress', 'professional', 'demand', 'demand resource', 'social', 'resource', 'work', 'mental']","['burnout primary care provider rural china structural equation low severe burnout high prevalent primary care provider pcps center receive scant attention light burnout view retain pcp rural china multistage cluster sampling cross sectional conduct shandong province china pcp participate burnout measure multifaceted instrument develop base exist maslach burnout inventory participant response likert item respectively pearson correlation structural equation modeling multivariate logistic regression subscale pcp dissatisfied 95.12 follow working environment 49.65 47.98 percentage pcp report high emotional exhaustion depersonalization personal accomplishment 27.66 6.06 38.74 respectively 14.06 respondent high direct burnout γ=-0.52 γ=-0.29 direct burnout γ= 0.28 indirect γ=-0.14 burnout mediator work environment medical practice environment prove p < 0.05 personal accomplishment identify predictor p < 0.05 plague low severe burnout pcp rural china high direct burnout indirect burnout mediator target strategy motivate retain pcp author(s burnout primary care provider structural equation', 'driver burnout information work \xa0 \xa0 demand resource framework empirical driver multidimensional conceptualization burnout information personnel demand resource framework professional partial square structural equation pls sem composite base demand resource differently dimension burnout burnout dimension leave turnaway leave cynicism affect human resource professional want look manage work exhaustion focus professional efficacy dimension burnout professional leave industry originality value need researcher information system rethink exhaustion proxy burnout construct focus work exhaustion tell story professional additionally indicate burnout affect professional turnaway psychosocial mentoring directly burnout component indirectly component burnout professional demand resource turnaway', 'examination correlate burnout information system professional correlate burnout system professional little area burnout professional anecdotal show burnout form cynicism dissatisfaction mcgee empirically correlation burnout work attribute antecedent consequence burnout ambiguity conflict theorize antecedent burnout dimension affective continuance possible consequence burnout emotional exhaustion subscale maslach burnout inventory measure burnout professional co elate positively burnout affective negatively continuance positively burnout igi global']"
2,112,2_nurse_nursing_leave_hospital,"['nurse', 'nursing', 'leave', 'hospital', 'nurse leave', 'profession', 'retention', 'shortage', 'register', 'register nurse']","['psychological ownership nursing profession correlational taiwanese nurse psychological ownership nursing profession severe shortage nurse worldwide need understand nurse leave hospital nursing profession alleviate adopt cross sectional random sampling ensure representativeness register nurse medical centre taiwan december january scale self efficacy scale develop have place scale psychological ownership comprise dimension self efficacy nurse identity have place nursing profession dimension psychological ownership nursing profession leave hospital nursing profession self efficacy have place negatively nurse leave hospital r = −.23 −.31 p < .001 nurse identity negatively nurse leave nursing profession r = −.38 p < .001 leave hospital positively nurse leave profession r = .76 p < .001 novel insight retain nurse nurse use strategy nurse make workplace decision encourage personalize nursing nurse enhance nurse self efficacy sense have place retain nurse hospital nurse identity retain nurse profession ltd nurse psychological ownership structural equation modeling workforce', 'nurse leave organisation profession turkey nurse leave organisation leave profession turkey numerous nurse leave organisation leave profession knowledge nurse leave remain insufficient descriptive cross sectional conduct base nurse hospital nurse characteristic leave organisation leave profession maslach burnout index practice environment scale nursing work index evaluate stepwise logistic regression dissatisfaction year work organisation emotional exhaustion depersonalisation collegial nurse physician adequacy staffing resource nurse leave organisation r2 \xa0 = \xa0 dissatisfaction emotional exhaustion nurse leave profession r2 \xa0 = \xa0 difference pattern nurse leave organisation leave profession dissatisfaction emotional exhaustion common important nurse leave nursing focus increase prevent burnout nurse nurse nurse suggestion develop plan staffing resource encourage interdisciplinary cooperation ltd burnout leave nurse work environment', 'leave employment register nurse teaching hospital assess malaysian nurse perceive determine association exist leave employment currently shortage qualified nurse healthcare organisation face challenge retain train nurse identify nurse widely malaysia cross sectional register nurse teaching hospital malaysia complete self administer distribute return response rate = overall nurse moderate high motivational observe demographic nurse intend leave employment furthermore age work experience nursing education leave logistic regression independent predictor nurse leave control demographic association nurse leave employment add exist nurse leave relevance clinical practice nurse vital promote long term retention nurse organisation attention pay need young nurse represent majority nursing workforce low great leave old nurse strategy nurture young nurse opportunity education great decision make capability flexible working environment essential ltd leave malaysian nurse nursing teach hospital']"
3,99,3_family_work family_conflict_family conflict,"['family', 'work family', 'conflict', 'family conflict', 'work', 'life', 'family work', 'work life', 'work conflict', 'wfc']","['work family interface cee transition country perspective work family family work conflict enrichment predict subsequent relation transition country work family family work conflict enrichment predict subsequent relation transition country work family enrichment significantly positively family work enrichment similar pattern observe conflict work family conflict exhibit relation partially mediate work family interface indirect work family enrichment work family conflict originality value unique side work family interface attitude transition country cee cultural work family furthermore direct indirect work family interface significance domain cross domain family work conflict family work enrichment transition country work family conflict work family enrichment', 'supervisor conflict work family interface select frontline supervisor work family conflict select develop frontline northern cyprus hotel path supervisor alleviate frontline conflict work family interface increase demonstrate family work conflict performance deleteriously contrast hypothesis work family conflict performance empirical indicate work family conflict predictor family work conflict hypothesis performance performance depict affective empirical hypothesize family work conflict indirectly way performance family work conflict detrimental affective indirectly performance path indicate work family conflict determinant family work conflict affective ltd family work conflict frontline northern cyprus supervisor work family conflict', 'examination select antecedent work family conflict family work conflict frontline service develop select antecedent consequence work family conflict family work conflict frontline service obtain time frontline northern cyprus hotel setting path show affectivity na amplify work family conflict family work conflict work family conflict work overload family work conflict work family conflict family work conflict significantly creative performance indicate work family conflict significantly negatively career family work conflict conflict family work exacerbate lend work family conflict empirical na work overload demonstrate career work overload creative performance career hypothesized direction avenue present haworth press family work conflict frontline hotel northern cyprus work family conflict']"
4,90,4_machine_learning_machine learning_prediction,"['machine', 'learning', 'machine learning', 'prediction', 'algorithm', 'base', 'company', 'forest', 'human', 'feature']","['artificial intelligence human resource computational application machine learning human resource increasingly common human resource industry rely machine learning automate process improve efficiency enhance decision making machine learning human resource challenge challenge lack interpretability interpretability essential human resource decision direct people life decision transparently understandably apply agnostic post hoc explanation know anchor real world dataset human resource industry dataset create predictive pipeline human capital system capable allow human resource professional enact retention policy promptly anchor create pipeline single decision leave company easily interpretable non expert system advantage allow decision maker act way retain valuable resource ieee artificial intelligence human resource machine learning', 'early prediction industry machine learning algorithm company world face redoubtable challenge recruit eligible talented candidate time endure risk death resignation retirement key firm face today endeavor retain valuable skilled worker lose talented company performance suffer huge loss term recruitment cost training cost etc incur upliftment departure morale increase stress burden team member business long rely conventional business practice promote growth increase massive continuously preference artificial intelligence machine learning open new realm possibility drive business growth actionable insight determine depart initiative keep use information predict risk use machine learning conduct prediction ibm watson dataset have feature term performance metric logistic regression machine learning accuracy good recall rate 0.36 generate good dataset ieee artificial intelligence machine learning', 'machine learn feature turn prediction major company face especially advance skill work company face great loss period dominant determine feature machine learning algorithm feature process propose new particular attribute select adjust accordingly phase reduction sequential selection algorithm sbs feature high relatively small chi2 random forest importance algorithm second phase reduction determine common important feature algorithm foremost feature lead step feature selection confirm mainly feature responsible departure later select minimal feature algorithm machine learning decision tree random forest vector machine multi layer mlp k near neighbor knn naïve lastly visualize 3d representation learn feature precisely involve springer nature switzerland ag chi2 component decision tree knn machine learning mlp naïve predictive random forest sbs svm']"
5,87,5_hotel_hospitality_industry_hotel industry,"['hotel', 'hospitality', 'industry', 'hotel industry', 'tourism', 'hospitality industry', 'customer', 'star', 'frontline', 'green']","['antecedent leave case luxury hotel staff assess antecedent resign luxury hotel india firstly enthusiasm profession organisation nature work social family life secondly term organisational loyalty supervisor security earning additional benefit theoretical fig seven hypothesis indicate agreement statement quit intend leave term luxury hotel represent star star hotel india.finding response resign professional organisational enthusiasm work stimulate extent work social family life quit notion organisational loyalty resign contradict resign increase security earning improve distinctive luxury hotel india leave little wide similar attempt indian hotel industry practice major hotel industry india population billion people expand hotel industry ltd india luxury hotel staff', 'restructuring meet housekeeping work hotel hotel differ hotel part world big hotel hotel major city typically operate international chain hotel considerably small scatter country customer business tourist approximately half overnight stay hotel tendency large unit chain particular fairly phenomenon denmark rest late entry market international chain predominantly interested capital area prefer contract contract form largely unknown hotel restaurant tourism industry digit industry economy term sale proportion total employment industry share percent hotel account fourth year industry grow average 2.6 percent year line average growth rate economy year new difficult hotel industry worldwide international economic downturn decline international tourism consequence sar outbreak war international clearly adverse global hotel industry hotel sector consequence particularly area turn growth pick rapidly.1 say far say hotel european country denmark somewhat different different warrant hotel sector wage high country particularly unskilled labor make considerable portion sector employment later hotel general satisfied despite work strenuous work pace high contrast united states hotel industry denmark stand sector significantly high labor average bernhardt dresser hatton chapter answer question russell sage foundation', 'psychological personality attitude hospitality tourism industry recognise service sector malaysian economy thoroughly associate hotel industry sustain economic growth problem hotel high voluntary matter grave concern national poorly affect malaysia competitiveness present psychological personality trait predict attitude hotel industry consequently hotel malaysia n = partial structural equation smart pls resilience hope optimism increase attitude hotel industry consequently important hotel determinant attitude hotel hotel industry malaysia hall attitude hospitality tourism hotel personality psychological trait']"
6,75,6_driver_occupational_teacher_safety,"['driver', 'occupational', 'teacher', 'safety', 'work', 'risk', 'accident', 'injury', 'cancer', 'ergonomic']","['difference truck driver labor supply owner operator seek work hour truck driver driver supply labor freight transportation market recently truck driver hour object regulatory regulation u.s department transportation ostensibly safety new hour service regulation blame trucking industry decrease labor supply driver driver enter employment driver operate regulatory environment determinant labor hour truck driver determinant particularly relevant light shortage supply truck driver united states near associate cost rate driver trucking industry nature driver employment firm owner operator modern industrial transaction cost agency transportation forum', 'truckload freight transportation utilize relay point improve drive propose relay point base transportation network obtain robust solution truck driver driver retention problem exploit characteristic driver route problem truckload freight move transportation network new route driver short distance continuously holistically important performance measure truck driver transportation carrier customer time driver spend drive time spend home exploit determine balance driver home time driver pay mixed integer program determine relay point optimally locate exchange equipment perform equipment maintenance access rest facility etc important cost transport truckload freight propose improve truckload driving expense transportation carrier customer desirable characteristic sensitivity solution numerical driver home time length relay point slip truckload driver', 'utilize relay point improve truckload driving propose relay point base transportation network obtain robust solution truck driver driver retention problem exploit characteristic driver route problem truckload freight move transportation network new route driver short distance continuously important performance measure truck driver transportation carrier customer time driver spend drive time spend home exploit determine balance driver home time driver pay mixed integer quadratic program determine relay point optimally locate exchange equipment perform equipment maintenance access rest facility etc important cost transport truckload freight propose improve truckload driving expense transportation carrier customer desirable characteristic solution numerical case excelingtech pub uk driver home time length relay point slip truckload driver']"
7,72,7_worker_wage_labor_retirement,"['worker', 'wage', 'labor', 'retirement', 'unemployment', 'employment', 'market', 'construction', 'productivity', 'labor market']","['small employer retirement build well mousetrap 5.3 million small employer firm few united states small firm employ 38.0 million represent percent employment low retirement plan coverage small employer directly affect sizeable fraction national work force small employer offer retirement plan cost administration matter small employer driver financial reality run small business revenue uncertain commit plan important plan e.g. worker retirement saving priority employer work force high sense plan different retirement plan available plan especially option create specifically small employer example say hear percent familiar percent simple plan small business percent small employer report likely start plan year percent somewhat likely report item likely lead consideration plan increase profit percent business tax start retirement plan percent major driver low retirement plan small employer employ uncertainty revenue flow administrative cost burden matter solution simply build come create retirement plan gear small business build come business reach certain profitability stability retirement planning saving priority small employer worker', 'small employer benefit small employer benefit overall percent small employer offer benefit plan percent increase co pay percent switch percent increase share premium percent cut scope benefit percent increase scope benefit offer nearly quarter small employer offer benefit think firm coverage percent think drop coverage cost increase additional percent small employer offer sound business offer benefit worker report recruitment retention increase productivity quarter report offer benefit thing small employer offer benefit report business recruitment retention attitude performance status overall success business small employer offer benefit tend think offer business overall success business offer benefit likely offer report high stay month small employer offer benefit tend distinctly different offer worker income firm offer benefit tend considerably low firm offer employer offer benefit likely offer small proportion time employer offer benefit large proportion female worker age minority small employer offer dependent coverage percent report worker coverage dependent dependent coverage percent report decline dependent coverage afford premium small employer offer benefit percent extremely likely start offer benefit year percent somewhat likely start offer benefit', 'erratum germany country old worker zaf 10.1007 s12651 ask clarify correct page instead rate start new old worker seldom see look transition unemployment employment cent transition old worker unemployment lead employment figure amount cent year picture arise calculate transition rate unemployment employment year 3.9 cent stock old unemployed move employment ratio 7.2 cent unemployed year old unemployed people poor chance age transition rate 3.3 plus 2.1 difficulty bring old unemployed work high long term unemployment compare unemployed ratio unemployment worker age plus cent high share cent refer unemployed figure approve bring old unemployed work difficult persistent unemployment remain major problem read rate start new old worker seldom see look transition unemployment employment cent transition old worker unemployment lead employment figure amount cent year picture arise calculate monthly transition rate unemployment employment year 3.9 cent stock old unemployed move employment ratio 7.2 cent unemployed year old unemployed people poor chance age transition rate 3.3 plus 2.1 difficulty bring old unemployed work high unemployment compare unemployed ratio long term unemployment worker age plus cent high share cent refer unemployed figure approve bring old unemployed work difficult persistent unemployment remain major problem publisher apologize mistake institut für und berufsforschung']"
8,72,8_career_professional_career development_development,"['career', 'professional', 'career development', 'development', 'generation', 'work', 'value', 'knowledge', 'difference', 'opportunity']","[""openness experience quit moderate career opportunity ouverture à l'expérience engagement et de quitter l'effet modérateur des opportunités de carrière present empirical look openness experience quit perceive career development opportunity moderator conduct service worker indicate affective mediate openness experience quit perceive career development opportunity moderate openness experience normative perceive sacrifice strong career development opportunity perceive high moderate openness experience affective alternative career development opportunity direct affective perceive career development opportunity moderate indirect openness experience quit perceive sacrifice indirect significantly career development opportunity perceive high indicate people open experience tend interpret presence career development opportunity cost stay interaction openness experience contextual enhance understanding mechanism drive perceive sacrifice component economic social exchange basis blau importance situational look personality trait attitude generally emphasize importance opportunity learn need adjust behavior personality wish limit case staff press de france des career development opportunity quit openness experience personality"", 'characteristic determinant career industry gain significance india employ large workforce year advent industry characteristic work experience high burnout career plateau work family conflict insecurity low career extant nature work accept career conceptual framework burnout career plateau insecurity career work family conflict independent career dependent develop adopt scale measurement confirmatory structural structural equation burnout career career plateau predict career recommendation inderscience enterprises ltd career career plateau career insecurity work family conflict', 'career adaptability career identity career adaptability lead success individual career success base career construction career adaptability success individual career success moderate career identity time lag propose 1,652 chinese company show career adaptability negatively positively associate supervisor rate performance career yearly income career adaptability significantly low career identity career adaptability career strong high career identity career adaptability yearly income significantly high career identity development career adaptability career counseling author(s career adaptability career identity career performance yearly income']"
