Topic,Count,Name,Representation,Representative_Docs
-1,1326,-1_the_and_of_to,"['the', 'and', 'of', 'to', 'in', 'turnover', 'job', 'intention', 'on', 'for']","['Relationships between job characteristics, work engagement, conscientiousness and managers’ turnover intentions: A moderated-mediation analysis Purpose: Integrating the job demands-resources theory and the conservation of resources theory, the purpose of this paper is to develop and test a moderated-mediation model examining the relationships between motivating job characteristics, work engagement, conscientiousness and managers’ turnover intentions. Design/methodology/approach: Data were collected using a survey questionnaire from 1,302 managers working in eight Indian private sector organizations. Structural equation modeling and hierarchical regression analysis were used to test the hypothesized relationships between the study variables. Findings: The study found evidence of the mediating role of work engagement for the relationship between motivating job characteristics and managers’ turnover intentions. Conscientiousness moderated the relationship between work engagement and turnover intention. The total and indirect effects of motivating job characteristics on turnover intention were moderated by conscientiousness. Research limitations/implications: The study was cross-sectional, so inferences about causality are limited. Practical implications: The findings of this study reaffirm the crucial role of job characteristics in influencing work engagement and turnover intention. By examining work engagement as a mediator for the job characteristics-turnover intention relationship, this study explores the process through which job characteristics are associated with turnover intention. The findings of the moderating influence of contentiousness on the relationship of direct and indirect effects of job characteristics suggests that individual personality can influence social exchanges as well as managerial attitudes and behaviors in multiple ways. Originality/value: The study provides an insight into the underlying process through which job characteristics are related to managers’ turnover intentions. To the best of the authors’ knowledge, such a study is the first of its kind. © 2018, Emerald Publishing Limited. Conscientiousness; Indian business context; Job characteristics; Managerial workforce; Quantitative; Turnover intention; Work engagement', ""Moderating role of demands: Abilities fit in the relationship between work role stressors and employee outcomes The purpose of the present study was to explore the direct effect of work role stressors and Demands-Abilities (D-A) fit on the employee outcomes of job satisfaction, organizational citizenship behavior (OCB) and turnover intentions. The study further aimed to investigate the moderating role of D-A fit in the relationship between work role stressors and the above mentioned employee outcomes. The study was conducted using structured questionnaires for measuring the above mentioned variables. The sample of the study was 317professionals from five sectors. Hierarchical multiple regression was used to analyze the data. Hierarchical multiple regression results showed that the work role stressors were negatively related to job satisfaction and OCB and positively related to turnover intentions. D-A fit was seen to be positively related to job satisfaction and OCB and negatively related to turnover intentions. The analysis also found some support for the stress buffering effect of high D-A fit in the prediction of job satisfaction, OCB and turnover intentions. This study contributes to the organizational behavior literature by focusing on the fact that the negative effects of work role stressors on employee outcomes can be mitigated by identifying the variables which act as a buffer to weaken this effect. The results of the study provide support for the fact that matching employees to their job can help in the mitigation of employees' stress resulting in positive employee outcomes, hence benefiting the organization in the long run. © 2018 by IGI Global. All rights reserved. "", 'The effectiveness of mindfulness based programs in reducing stress experienced by nurses in adult hospital settings: a systematic review of quantitative evidence protocol REVIEW QUESTION/OBJECTIVE: The objective of this review is to identify the effectiveness of mindfulness based programs in reducing stress experienced by nurses in adult hospitalized patient care settings.BACKGROUND: Nursing professionals face extraordinary stressors in the medical environment. Many of these stressors have always been inherent to the profession: long work hours, dealing with pain, loss and emotional suffering, caring for dying patients and providing support to families. Recently nurses have been experiencing increased stress related to other factors such as staffing shortages, increasingly complex patients, corporate financial constraints and the increased need for knowledge of ever-changing technology. Stress affects high-level cognitive functions, specifically attention and memory, and this increases the already high stakes for nurses. Nurses are required to cope with very difficult situations that require accurate, timely decisions that affect human lives on a daily basis.Lapses in attention increase the risk of serious consequences such as medication errors, failure to recognize life-threatening signs and symptoms, and other essential patient safety issues. Research has also shown that the stress inherent to health care occupations can lead to depression, reduced job satisfaction, psychological distress and disruptions to personal relationships. These outcomes of stress are factors that create scenarios for risk of patient harm.There are three main effects of stress on nurses: burnout, depression and lateral violence. Burnout has been defined as a syndrome of depersonalization, emotional exhaustion, and a sense of low personal accomplishment, and the occurrence of burnout has been closely linked to perceived stress. Shimizu, Mizoue, Mishima and Nagata state that nurses experience considerable job stress which has been a major factor in the high rates of burnout that has been recorded among nurses. Zangaro and Soeken share this opinion and state that work related stress is largely contributing to the current nursing shortage. They report that work stress leads to a much higher turnover, especially during the first year after graduation, lowering retention rates in general.In a study conducted in Pennsylvania, researchers found that while 43% of the nurses who reported high levels of burnout indicated their intent to leave their current position, only 11% of nurses who were not burned out intended to leave in the following 12 months. In the same study patient-to-nurse ratios were significantly associated with emotional exhaustion and burnout. An increase of one patient per nurse assignment to a hospital\'s staffing level increased burnout by 23%.Depression can be defined as a mood disorder that causes a persistent feeling of sadness and loss of interest. Wang found that high levels of work stress were associated with higher risk of mood and anxiety disorders. In Canada one out of every 10 nurses have shown depressive symptoms; compared to the average of 5.1% of the nurses\' counterparts who do not work in healthcare. High incidences of depression and depressive symptoms were also reported in studies among Chinese nurses (38%) and Taiwanese nurses (27.7%). In the Taiwanese study the occurrence of depression was significantly and positively correlated to job stress experienced by the nurses (p<0.001).In a multivariate logistic regression, Ohler, Kerr and Forbes also found that job stress was significantly correlated to depression in nurses. The researchers reported that nurses who experienced a higher degree of job stress were 80% more likely to have suffered a major depressive episode in the previous year. A further finding in this study revealed that 75% of the participants also suffered from at least one chronic disease revealing a strong association between depression and other major health issues.A stressful working environment, such as a hospital, could potentially lead to lateral violence among nurses. Lateral violence is a serious occupational health concern among nurses as evidenced by extensive research and literature available on the topic. The impact of lateral violence has been well studied and documented over the past three decades. Griffin and Clark state that lateral violence is a form of bullying grounded in the theoretical framework of the oppression theory. The bullying behaviors occur among members of an oppressed group as a result of feeling powerless and having a perceived lack of control in their workplace. Griffin identified the ten most common forms of lateral violence among nurses as ""non-verbal innuendo, verbal affront, undermining activities, withholding information, sabotage, infighting, scape-goating, backstabbing, failure to respect privacy, and broken confidences"". Nurse-to-nurse lateral violence leads to negative workplace relationships and disrupts team performance, creating an environment where poor patient outcomes, burnout and high staff turnover rates are prevalent.Work-related stressors have been indicated as a potential cause of lateral violence. According to the Effort Reward Imbalance model (ERI) developed by Siegrist, work stress develops when an imbalance exists between the effort individuals put into their jobs and the rewards they receive in return. The ERI model has been widely used in occupational health settings based on its predictive power for adverse health and well-being outcomes. The model claims that both high efforts with low rewards could lead to negative emotions in the exposed employees. Vegchel, van Jonge, de Bosma & Schaufeli state that, according to the ERI model, occupational rewards mostly consist of money, esteem and job security or career opportunities. A survey conducted by Reineck & Furino indicated that registered nurses had a very high regard for the intrinsic rewards of their profession but that they identified workplace relationships and stress issues as some of the most important contributors to their frustration and exhaustion. Hauge, Skogstad & Einarsen state that work-related stress further increases the potential for lateral violence as it creates a negative environment for both the target and the perpetrator.Mindfulness based programs have proven to be a promising intervention in reducing stress experienced by nurses. Mindfulness was originally defined by Jon Kabat-Zinn in 1979 as ""paying attention on purpose, in the present moment, and nonjudgmentally, to the unfolding of experience moment to moment"". The Mindfulness Based Stress Reduction (MBSR) program is an educationally based program that focuses on training in the contemplative practice of mindfulness. It is an eight-week program where participants meet weekly for two-and-a-half hours and join a one-day long retreat for six hours. The program incorporates a combination of mindfulness meditation, body awareness and yoga to help increase mindfulness in participants. The practice is meant to facilitate relaxation in the body and calming of the mind by focusing on present-moment awareness. The program has proven to be effective in reducing stress, improving quality of life and increasing self-compassion in healthcare professionals.Researchers have demonstrated that mindfulness interventions can effectively reduce stress, anxiety and depression in both clinical and non-clinical populations. In a meta-analysis of seven studies conducted with healthy participants from the general public, the reviewers reported a significant reduction in stress when the treatment and control groups were compared. However, there have been limited studies to date that focused specifically on the effectiveness of mindfulness programs to reduce stress experienced by nurses.In addition to stress reduction, mindfulness based interventions can also enhance nurses\' capacity for focused attention and concentration by increasing present moment awareness. Mindfulness techniques can be applied in everyday situations as well as stressful situations. According to Kabat-Zinn, work-related stress influences people differently based on their viewpoint and their interpretation of the situation. He states that individuals need to be able to see the whole picture, have perspective on the connectivity of all things and not operate on automatic pilot to effectively cope with stress. The goal of mindfulness meditation is to empower individuals to respond to situations consciously rather than automatically.Prior to the commencement of this systematic review, the Cochrane Library and JBI Database of Systematic Reviews and Implementation Reports were searched. No previous systematic reviews on the topic of reducing stress experienced by nurses through mindfulness programs were identified. Hence, the objective of this systematic review is to evaluate the best research evidence available pertaining to mindfulness-based programs and their effectiveness in reducing perceived stress among nurses. ']"
0,147,0_commitment_the_organizational commitment_of,"['commitment', 'the', 'organizational commitment', 'of', 'and', 'organizational', 'to', 'turnover', 'intention', 'employees']","['Organizational commitment, job satisfaction and their possible influences on intent to turnover Purpose: The purpose of this paper is to investigate the extent to which the organizational commitment and job satisfaction influence intent to turnover. Design/methodology/approach: Following a quantitative approach regarding methodological aspects of this research, a case study was carried out in a company of information technology and communication located in Porto Digital, in the Northeast of Brazil. A data collection technique with 172 forms, a self-administered form with 18 closed questions with a Likert-type scale and an open questionnaire were used. In this analysis, Statistical Package for the Social Sciences (SPSS) software was used as the technique; besides the descriptive statistics, a correlation was made between dependent variables (intention of rotation) and independent variables (affective, normative, instrumental and work satisfaction). The level of organizational commitment in its three dimensions (affective, normative and instrumental), the job satisfaction in its five dimensions (satisfaction with nature of the task, with leadership, with colleagues, with salary and promotions) and the level of intent to turnover from the respondents were investigated. Findings: The results suggest that affective and normative commitments and satisfaction with pay, satisfaction with promotions and satisfaction with the nature of the work are correlated with the intention of negative turnover significantly. Among the demographic factors, only the age showed a negative correlation with intent to turnover. By performing multiple regression analysis, we identified that the variables that most impacted the turnover intention are affective commitment, satisfaction with salary and normative commitment. The qualitative portion of this study was accomplished through a content analysis of the open question of the form. Finally, one of the main considerations is the findings that revealed variables other than those adopted in the study, which influence the permanence of the respondents. Research limitations/implications: Among the limitations of the research a single case study is highlighted that replicates the experience in other ICT companies to verify if the results found are similar in other organizations and in other segments. The findings direct the construction and validation of new scales, the creation of qualitative protocols to identify the variables that influence the retention of a specific group of individuals to serve as a guide for the elaboration of a questionnaire, as well as creation of surveys of longitudinal nature to correlate the data of intention of rotation with the effective turnover. Practical implications: Based on the results, organizations can reduce voluntary evasion by adjusting actions, policies and practices, directing those responsible for People Management to attract and retain good employees. It should be emphasized that voluntary turnover should be treated as one of the management indicators of greater relevance by organizations, representing a thermometer of all human capital management. Social implications: The monitoring of employment and unemployment levels is part of the public policy agenda for generating employment and income in Brazil. For organizations, employee turnover can and should be managed and monitored so that appropriate levels are found and their consequences are minimized through effective solutions. The results are important both for technology-based organizations and for all stakeholders interested in the subject as the public power. Originality/value: Although in the international literature turnover is a topic of study for many years, in the Brazilian context, there is a shortage of research on the subject, specifically in the sector of advanced technology where there is a great lack of skilled labor, a fierce competition and where to keep employees standard high becomes a survival factor. This study may contribute to the exploration in the local literature, as it will help locate the academy on the Brazilian reality and open the doors to new research works on turnover and its possible correlations with other variables besides organizational commitment and job satisfaction. © 2018, Carolina Machado Dias Ramalho Luz, Sílvio Luiz de Paula and Lúcia Maria Barbosa de Oliveira. Job satisfaction; Organizational commitment; Turnover', ""The relationship between organizational commitment and turnover intention among employees at a manufacturing company in Malaysia Retaining employees is an important task to all organization. Therefore, turnover should be reduced as it caused high cost on the company. In order to reduce the turnover rate, the turnover intention of the employees should be known because it is the predictor of the actual turnover action. Organizational commitment is viewed as one of the important factors to retain employees in organization. Thus, the main purpose of this study is to determine the relationship between organizational commitment and turnover intention among 127 employees in a manufacturing company in Malaysia. The Statistical Package for Social Science (SPSS) version 20.0 was used to analyze the data. The findings show moderate level of employees' commitments and turnover intention. Meanwhile, the correlation between employees' organizational commitment and turnover intention is found to be negative and strong with significant relationship with r = -0.921. In short, an empirical investigation was conducted to study the relationship between employees' organizational commitment and turnover intention in a Malaysian manufacturing company. The results showed that there are negative as well as significant relationships between affective commitment, continuance commitment, normative commitment, and turnover intention. © 2016 International Information Institute. Organizational commitment; Turnover intention"", 'The role of organizational commitment in mediating the relationship between job satisfaction and turnover intention The main purpose of this study was to examine the relationship between job satisfaction, organizational commitment and turnover intention. The study also determined the effects of job satisfaction on organizational commitment and the impact of organizational commitment on turnover intention. Further the study examined the mediating effect of organizational commitment on the relationship between job satisfaction and turnover intention. 150 doctors of Malaysian public hospitals were randomly selected as sample in this study. The obtained data were analyzed using SPSS (Statistical Package for Social Sciences) version 18. Descriptive and inferential statistics were employed to answer the objectives and hypotheses of the study. The results hypothesized that job satisfaction components have a positive and significant relationship on organizational commitment. Meanwhile job satisfaction components were negatively related to turnover intention. The study revealed that job satisfaction components have a positive effect on organizational commitment and organizational commitment indicated a negative effect on turnover. The study also revealed that organizational commitment served as a mediator to the relationship between job satisfaction and turnover intention. Based on the implication of the research findings, several suggestions are put forward. © EuroJournals Publishing, Inc. 2012. Job satisfaction; Organizational commitment and turnover intention']"
1,118,1_workfamily_conflict_family_workfamily conflict,"['workfamily', 'conflict', 'family', 'workfamily conflict', 'and', 'the', 'of', 'work', 'to', 'support']","[""An examination of the selected antecedents and outcomes of work-family conflict and family-work conflict in frontline service jobs The purpose of this study is to develop and test a model that investigates the selected antecedents and consequences of work-family conflict and family-work conflict in frontline service jobs. Data were obtained from a sample of full-time frontline employees in Northern Cyprus hotels as its setting. The results of the path analysis showed that negative affectivity (NA) amplified employees' work-family conflict and family-work conflict. Work-family conflict was found to be a significant outcome of work overload, whereas family-work conflict was not. Neither work-family conflict nor family-work conflict significantly influenced creative performance. The results indicated that work-family conflict was significantly and negatively related to career satisfaction, whereas family-work conflict was not. In addition, conflict between family and work domains exacerbated turnover intentions. However, the results did not lend any support to the relationship between work-family conflict and turnover intentions. There was no empirical support for the impact of NA on work overload. The results demonstrated that career satisfaction had a significant negative impact on turnover intentions. The findings regarding the relationships among work overload, creative performance, and career satisfaction were in the hypothesized directions. Implications of the findings and avenues for future research are presented in the study. © 2008 by The Haworth Press. Family-work conflict; Frontline employees; Hotel; Northern Cyprus; Work-family conflict"", ""Relationships of supervisor support and conflicts in the work-family interface with the selected job outcomes of frontline employees A research model investigating the relationship of supervisor support and work-family conflict with the selected job outcomes was developed and tested using a sample of frontline employees in Northern Cyprus hotels. The results of the path analysis suggest that supervisor support alleviates frontline employees' conflicts in the work-family interface and increases their job satisfaction. Results demonstrate that family-work conflict influences job performance deleteriously. In contrast, the hypothesis that work-family conflict has a significant negative influence on job performance is not supported by the empirical data. The results of this study indicate that work-family conflict is a significant predictor of job satisfaction, while family-work conflict is not. In addition, the hypotheses that job performance exerts a significant positive effect on job satisfaction and job performance and job satisfaction depict significant positive associations with affective organizational commitment are supported by the empirical data. Although not hypothesized, results reveal that family-work conflict has a negative impact on job satisfaction indirectly by way of job performance, while family-work conflict has a detrimental effect on affective organizational commitment indirectly via job performance and job satisfaction. The results of the path analysis indicate that work-family conflict and job satisfaction are significant determinants of turnover intentions. This study, however, found no evidence of significant relationships of family-work conflict and affective organizational commitment with turnover intentions. © 2006 Elsevier Ltd. All rights reserved. Family-work conflict; Frontline employees; Job outcomes; Northern Cyprus; Supervisor support; Work-family conflict"", ""Work family conflict among women university teachers: A case from Pakistan Purpose of the study: The relationship between work-family conflict, job satisfaction, and turnover intention has been explored extensively in the existing work-family conflict literature. This research study examines the relationship between work-family conflict, job satisfaction, and job turnover intention among female university teachers considering a situation in Pakistan as a case-in-point. Research Methodology: Questionnaire surveys were personally administered and data was collected from some of the university female teachers in Pakistan. Tests for normality, correlation and regression were employed to test the hypotheses and answer the research questions. Findings: The results revealed that work-family conflict is explained by job satisfaction which impacts job turnover intention amongst the female faculty. Besides, work-life conflict and job turnover intention exert negative indirect effects on the one's job satisfaction. Additionally, job turnover intention is strongly explained by job satisfaction, and job satisfaction is predicted by work-family conflict Research Limitation: The current study has a few limitations that must be stated. First, the research was conducted in only a few universities in Pakistan as it's difficult to collect data from all the universities. Consequently, its findings are not applicable to other industries in the country. Nonetheless based on the basic concepts of this study, a comparative research with different countries (e.g. Pakistan vs. India, Pakistan vs. Bangladesh) that investigates similar variables could be conducted in the future. Second limitation was that this study was carried out within a short time frame with limited resources. Originality/Value: This study contributes in two ways. First, it also provides insight into the importance of work life conflict, job satisfaction and job turnover intention among female university teachers. Second, this study provides evidence of the relationship between workfamily conflict, job satisfaction, and job turnover intention. Job satisfaction; Job turnover intention; University teachers; Women; Work-family conflict; Work-life""]"
2,110,2_it_professionals_it professionals_information,"['it', 'professionals', 'it professionals', 'information', 'the', 'turnover', 'technology', 'and', 'of', 'job']","[""The effect of organizational commitment on turnover of it professionals in outsourcing industry This research-in-progress paper examines the effect of organizational commitment on turnover of IT professionals in IT outsourcing industry. While research has examined turnover intention of IT professionals in general, few have focused on the context of IT outsourcing industry. We contend that IT professionals who work in IT outsourcing industry experience a totally different working environment than their counterparts in other industries. This difference warrants additional research so that effective strategy can be tailored to manage high turnover rate in the industry. We link Meyer and Allen's Three Component Model of Organization Commitment to examine turnover intention of IT professionals in outsourcing industry. To test the model, data will be collected using a survey questionnaire design from 150 IT professionals in outsourcing industry. The findings will add to the existing body of knowledge in IT turnover in general and in IT turnover among outsourcing employees in particular. For vendors, the findings will inform them how to best manage the different types of organizational commitment among their employees in an effort to retain the valuable IT professionals. IT outsourcing; IT professionals; Organizational commitment; Voluntary turnover"", 'The influence of job characteristics on IT and non-IT job professional’s turnover intentions Purpose – Information technology (IT) professionals and their intentions to leave an organization have been studied by researchers; however, these studies do not compare the turnover intentions of IT professionals with non-IT professionals from the same institution. The purpose of this paper is to examine how IT and non-IT job professionals relate to motivational and social job characteristics and their impact on job satisfaction, job performance and turnover intentions. Design/methodology/approach – Data were collected from IT-shared services employees through a survey and quantitative analyses were performed. Findings – Among the motivational job characteristics, IT professionals experienced greater task significance than the non-IT job holders. With social job characteristics, IT professionals had greater outside interaction than the non-IT professionals. However, the non-IT professionals had greater intentions to leave the IT organization than the IT professionals. Additionally, the study examined the differences of the job characteristics and job outcomes among transactional, transformational, and professional advisory work groups. The professionals and advisory group differed from the other groups in terms of feedback from the job, job satisfaction, and turnover intentions. Research limitations/implications – The findings are based on a small sample. However, it highlights some unique differences in how IT and non-IT job occupants perceive job characteristics and job outcomes. Originality/value – This study compares job characteristics and job outcomes of IT and non-IT job occupations in the same IT work environment. © Emerald Group Publishing Limited. Information technology; Organizational behaviour', 'The role of job satisfaction in turnover and turn-away intention of IT staff in South Africa Aim/Purpose This study forms part of the World IT Project, which aims to gain a deeper understanding of individual, personal and organisational factors influencing IT staff in a modern, work environment. The project also aims to provide a global view that complements the traditional American/Western view. The purpose of this study is to investigate and report on some of these factors, in particular, the role that job satisfaction has in turnover intention (i.e., changing jobs within the IT industry) and turn-away intention (i.e., moving to another industry other than IT) in South Africa. Background Several studies have reported on the importance of an employee’s job satisfaction to organisation success, and the various factors that influence it. Most studies on job satisfaction adopted a Westernised and not a global view. Very few empirical studies have been conducted on job satisfaction of IT workers in South Africa. This paper reports on the individual, personal and organisational factors that influence the job satisfaction of IT staff in South Africa. Methodology The study uses statistical analysis of survey data acquired through the World IT Project. Both online and paper based questionnaires were used. A sample size of 301 respondents was obtained from the survey, which was conducted over a period of 6 months during 2017. The factors that influence IT job satisfaction were analysed using correlation analysis, multiple regression analysis and discriminant analysis. The factors investigated were employee and organisational demographics, aspects of occupational culture, and various job-related individual issues. Contribution This paper presents the only study focused specifically on turnover and turn-away intention amongst IT staff in South Africa. The final proposed model, grounded in the empirical dataset, clearly shows job satisfaction as a strong mediating construct explaining most of the variance in the IT professional’s intention to leave the organisation (i.e. their turnover intention) and the industry (i.e. their turn-away intention). Findings The findings revealed that there was a significant correlation between job satisfaction and turnover intention as well as between job satisfaction and turn-away intention of IT staff. Perceived professional self-efficacy, strain and experience were also highly correlated with turnover intention. Professional self-efficacy was also significantly correlated with turn-away intention. Based on the analyses that were conducted, a research model is presented that shows the relationships between the various antecedents of turnover and turn-away intention. Recommendations Managers in organisations dealing with the shortage of IT skills can use the for Practitioners model to plan interventions to reduce IT staff turnover rates by focussing on addressing the identified individual issues such as strain, job (in)security and work load as well as the personal value and IT occupational culture issues. Recommendations Researchers in the field of IT staff recruitment and management can find value for Researchers for their research in the proposed refined model of IT job satisfaction and turnover intention. Future research could possibly replicate the study in other countries or could focus on different factors. Impact on Society IT skills play a crucial role in society today and are therefore in high demand. However, this demand is not being satisfied by the current rate of supply. Research into what factors influence IT staff to leave the organisation or the industry can assist managers with improving their employee relations and job conditions so as to reduce this turnover and increase organisations’ and society’s competitiveness and economic growth. Future Research It would be interesting to determine if the findings are similar for a sample of smaller organisations and/or younger IT employees since this study focussed on larger organisations and more experienced staff. Future research could also compare the findings of South African organisations with those in other countries. © 2019 Informing Science Institute. All rights reserved. Burnout; Exhaustion; IS personnel; Job satisfaction in IT staff; Turnover intention; Workforce']"
3,106,3_hotel_hotels_the_hospitality,"['hotel', 'hotels', 'the', 'hospitality', 'industry', 'employees', 'and', 'of', 'in', 'turnover']","[""Exploring the antecedents of intentions to leave the job: The case of luxury hotel staff The aim of this study is to assess the antecedents of employee' intentions to resign from their jobs in luxury hotels in India. Two aspects are considered in this context: firstly, the employees' enthusiasm for the profession and organisation, the nature of the work and its impact on social and family life. Secondly, their level of satisfaction with the job in terms of organisational loyalty, relationship with supervisors, job security, earnings and additional benefits. A theoretical model (see Fig. 1) and seven hypotheses are tested to indicate whether the employees' level of agreement with statements about the job and their level of satisfaction with the job will impact their intentions to quit. The study further examines if any current employees intend to leave their job. The term luxury hotel is used to represent 5 star and 4 star hotels of India.Findings from the analyses of 884 responses suggest that, when considering intentions to resign from the job, a negative relationship is found between professional and organisational enthusiasm and perceptions about the work being stimulating. No support was found for a positive relationship between the extent work impacted social and family life and the intention to quit. However, results supported the notion that the employee's organisational loyalty has a negative effect on his/her intention to resign from the job. Our findings contradict several other studies in that they suggest the employee's intention to resign from the job increases as job security and earnings improve. The study is distinctive as it explores intentions luxury hotel employees in India to leave their jobs; three is little evidence in the wider literature of similar attempts in the context of the Indian hotel industry. The outcomes have implications for both theory and practice as this is the first such major study in the context of the hotel industry in India where there is a population of over a billion people and an expanding hotel industry. © 2013 Elsevier Ltd. India; Intentions; Luxury hotels; Staff turnover"", 'Employees’ perceptions on the relationship between human resource management practices and employee turnover: A qualitative study Purpose: The purpose of this paper is to explore hotel employees’ views on how human resource management (HRM) practices influence their turnover intentions. Design/methodology/approach: The data for this empirical study were collected through in-depth semi-structured interviews with 15 employees who had experience of working in various hotels in Macau, China. The thematic analysis approach was carried out to analyze the interview data and interpret the findings. Findings: The findings of this study demonstrate that although employee-oriented human resource policies and practices are favored, the way HR department handles and implement those policies are valued more by hotel employees. Furthermore, the retention of an organizational culture that helps create a feeling of ownership among employees is highly influenced by employees’ turnover intentions. The current study demonstrates that the HR department in hotels holds a powerful position, and therefore, hotel employees expect their HR department to play greater and proactive roles in the HRM apart from providing equitable opportunities for their growth. This implication is particularly important for Integrated Resorts where a large number of employees collectively work to serve a range of customers who visit hotels for a variety of purposes. Practical implications: This study suggests that addressing employees’ needs particularly those related to resolving complaints and managing relationships with other colleagues and providing opportunities for employees’ family members to take part in the organization’s activities and use its facilities are important practices that HR department can initiate to encourage employees’ engagement in hotels. Furthermore, the study shows that managers need to understand their employees’ perspectives as they can help resolve problems at the root level where they grow, and send a signal to the employees that the management is genuinely interested in resolving their problems and making them happy and satisfied. Originality/value: Although several studies have provided valuable insights into the relationship between HRM practices and employee turnover intentions, most of those studies have used quantitative approaches to collect and analyze data. Furthermore, almost none of the findings were derived from the hotel sector. This study explores hotel employees’ views on the relationship between HRM practices and employee turnover intention using qualitative methods. © 2019, Emerald Publishing Limited. Hotel employees; Human resource management practices; Macau; Turnover intention', ""The impact of positive psychological personalities on employee's attitude and turnover intention The hospitality and tourism industry is recognised as a potential service sector in contributing to the Malaysian economy and thoroughly associated with the hotel industry to sustain economic growth. One of the most significant problems for hotel managers is employee turnover. The issue of high voluntary turnover is a matter of grave concern at the national level that it is poorly affecting Malaysia's competitiveness. The present research investigates the impact of positive psychological personality traits in predicting employee's attitude towards the hotel industry and, consequently, reducing turnover intention. Data were collected from hotel employees in Malaysia (n = 200) and analysed using partial least structural equation modelling (Smart-PLS). Specific findings reveal that employee resilience, hope, and optimism increase employee's positive attitude towards the hotel industry and consequently reduce the turnover intention. This study has important implications for hotel managers interested in the determinants of employees' positive attitude towards hotels and employees' turnover intention in the hotel industry in Malaysia. © Primrose Hall Publishing Group. Attitude; Hospitality and tourism; Hotels; Personality; Positive psychological traits; Turnover intention""]"
4,86,4_attrition_machine_employee_employee attrition,"['attrition', 'machine', 'employee', 'employee attrition', 'learning', 'machine learning', 'the', 'prediction', 'to', 'of']","['A Novel Optimized Approach for Machine Learning Techniques for Predicting Employee Attrition As there are numerous opportunities for competent people throughout the world, workers frequently switch employers to take advantage of these opportunities, which causes a high attrition rate inside the organization. All firms increasingly view employee attrition as a major problem because of its negative impact on workplace productivity and the timely achievement of corporate goals and vision. Businesses are using machine learning technology to estimate worker turnover rates in an effort to solve this problem. In order to most precisely anticipate employee attrition, various machine learning algorithms are investigated and their results are compared in this study. The current study also optimizes the results of the most efficient machine learning algorithm for the given data using the ROC method. Notably, optimization of machine learning algorithms has not been studied in earlier research works related to employee attrition. In the current study, an attempt is made to optimize the performance of the selected algorithm and a model is proposed.  © 2022 IEEE. AUC; confusion matrix; employee attrition; F1-score; machine learning; Precision; Recall; ROC curve', ""Predictive model of employee attrition based on stacking ensemble learning Since human resource is the most important resource of a company, employee attrition is an important agenda from the company's point of view. However, employee attrition occurs due to various reasons, and it is difficult for the HR manager or the leader of each department to know these signs in advance. Employee attrition results in considerable burdens and losses of the organization due to a variety of reasons such as interruption of ongoing tasks, cost of employee re-employment and retraining, and risk of leaking core technologies and know-hows. Therefore, in this study, we propose a model for predicting employee attrition so that we can take measures for talent management which in the past, has been carried out ex post. In this study, a predictive model was constructed based on 30 variables - that affect employee attrition - from the 'IBM HR Analytics Employee Attrition & Performance data', which consists of 1,470 records. To this end, a total of eight predictive models, including Logistic Regression, Random Forest, XGBoost, SVM, Artificial Neural Network model and ensemble model, were built and their performance was evaluated. In addition, when the impact of variables on employee attrition was analyzed, variables such as environmental satisfaction, overtime work, and relationship satisfaction were found to be the biggest contributors. © 2022 Elsevier Ltd Employee attrition; Ensemble; Machine learning; Predictive model"", ""Automated Early Prediction of Employee Attrition in Industry Using Machine Learning Algorithms Several companies and organizations all over the world face redoubtable challenges in recruiting eligible and talented employee candidates, while at the same time enduring the risk of employee attrition caused as a result of death, resignation, or retirement. Employee attrition is one of the key issues that firms face today when endeavoring to retain their valuable and skilled workers. Losing talented employees results in a negative impact on the company's performance. Organizations suffer a huge loss in terms of recruitment costs, training costs, etc. which are incurred for an employee's upliftment. The departure of such employees can also reduce morale, increase stress, and over-burden the team members. Businesses can no longer rely on conventional business practices to promote growth due to the increase of a massive amount of data and the continuously changing preferences. Hence, artificial intelligence and machine learning open up a new realm of possibilities to drive business growth through actionable insights. The objective of this study is to determine why employees depart on their initiative, what might have kept them from doing so, and how to use this information to predict attrition risk. This research study uses three machine learning models to conduct the employee attrition prediction on the IBM Watson dataset having 35 features. The results are described in terms of performance metrics, and the Logistic Regression machine learning method, with an accuracy of 87% and the best recall rate (0.36), generated the best results for the dataset. © 2022 IEEE. artificial intelligence; Employee Attrition; machine learning""]"
