"","value"
"1","paper"
"2","theory"
"3","recent"
"4","interest"
"5","discipline"
"6","discussion"
"7","experiment"
"8","aim"
"9","introduce"
"10","consider"
"11","set"
"12","about"
"13","find"
"14","analysis"
"15","give"
"16","field"
"17","take"
"18","most"
"19","may"
"20","many"
"21","copyright"
"22","future"
"23","several"
"24","various"
"25","suggest"
"26","change"
"27","goal"
"28","right"
"29","type"
"30","group"
"31","technique"
"32","concept"
"33","specific"
"34","current"
"35","factor"
"36","state"
"37","art"
"38","method"
"39","module"
"40","potential"
"41","current"
"42","action"
"43","parameter"
"44","technology"
"45","aspect"
"46","condition"
"47","number"
"48","multiple"
"49","previous"
"50","complex"
"51","context"
"52","©"
"53","0"
"54","1"
"55","2"
"56","3"
"57","4"
"58","5"
"59","6"
"60","7"
"61","8"
"62","9"
"63","provide"
"64","methodology"
"65","main"
"66","author"
"67","model"
"68","rights"
"69","limited"
"70","issue"
"71","literature"
"72","survey"
"73","study"
"74","studies"
"75","findings"
"76","result"
"77","article"
"78","implication"
"79","reserved"
"80","review"
"81","questionnaire"
"82","research"
"83","approach"
"84","evidence"
"85","limitation"
"86","address"
"87","reveal"
"88","highlight"
"89","publishing"
"90","background"
"91","significant"
"92","objective"
"93","analyse"
"94","analyze"
"95","article"
"96","contribute"
"97","explain"
"98","describe"
"99","finding"
"100","sample"
"101","conclusion"
"102","discuss"
"103","collect"
"104","examine"
"105","investigate"
"106","explore"
"107","addition"
"108","francis"
"109","taylor"
"110","john"
"111","wiley"
"112","sons"
"113","inc"
"114","regard"
"115","emerald"
"116","elsevy"
